-- nunca, non ... mai	jamais (sens nég.)
(a) la	là (direction)
a	en (direction)
a baso	à bas (direction)
a bordo	à bord
a casa	à la maison (direction)
a dentro	en dedans (direction)
a deriere	en arrière (direction)
a devante	en avant (direction)
a fore	au dehors (direction)
a lo	y (à cela)
a lo mas	tout au plus
a men que	à moins que
a propose	à propos
a; (moyen, instrument) con	à
abade	abbé
abadesa	abbesse
abandonar	abandonner
abasar	abaisser
abasar	baisser (vt.)
abasar se	baisser (vi. et réfl.)
abatar	abattre
abcese	abcès
abete	sapin
abisme	abîme
abominable	abominable
abominar	abominer
abonamente	abonnement
abonar	abonner
aboyar	aboyer
abreviar	abréger
abricote	abricot
absence	absence
absente	absent
absolute	absolu
absolutemente nulo	rien du tout
absorbar	absorber
abstenar	abstenir
abstinente	abstinent
abstracte	abstrait
absurde	absurde
abundance	abondance
abusar	abuser ; abuser de
abuso	abus
academía	académie
academique	académique
acecar	aveugler
acecar	éblouir
acelerar	précipiter (hâter)
acente	accent
acentuar	accentuer
aceptable	acceptable
aceptar	accepter
acer	acier
acese	accès
acide (a.)	acide
acidente	accident
acido (s.)	acide
acion	action
acion	oeuvre (action)
aclarar	éclaircir
aclimatar	acclimater
acoliar	accueilir
acolie	accueil
acompaniamente	accompagnement
acompaniar	accompagner
acomplisar	accomplir
acomplisar	achever
acomplisar	remplir (accomplir)
acordar	accorder (mus., gram.)
acorde	accord
acordeon	accordéon
acostumance	coutume
acostumar	accoutumer
acre (a.)	aigre
acrobate	acrobate
acrocar	accrocher
actar	agir
acte	acte (théâtre, document)
activ	actif
activitá	activité
actor	acteur
actora	actrice
actual	actuel
actualitá	actualité
acua	eau
acuar	arroser
acuarel	aquarelle
acuario	aquarium
acuavite	eau-de-vie
acuchera	sage-femme
acusacion	accusation
acusar	accuser
acutar	aiguiser
acute	aigu
adaptacion	adaptation
adaptar	adapter
adeo	adieu
adicion	addition
adicionar	additionner
administracion	administration
administrativ	administratif
admirable	admirable
admiracion	admiration
admirar	admirer
admirator	admirateur
admiratora	admiratrice
admitar	admettre
admitar	recevoir (admettre)
adoptar	adopter
adorar	adorer
adornar	parer (orner)
adorne	parure (ornement, bijou)
adresar	adresser
